No.1:Traction sensor V,1332,1934,1247,1692,2079,1694,0,0,0,0,0,0,Traction sensor F/M,0.6679,0.148778,1.43758,-0.334342,3.88622,-0.591085,1.23547e-315,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1987.61,1854.25,2435.61,1757.81,1718.75,1918.64,Contact sensor F/M,0.241302,0.97589,-0.517315,-2.13082,-0.894979,-0.0894123,Robot TCP position,0.335269,0.587177,0.335366,-0.529453,-0.11487,2.41493,Robot Joint position,89.8724,-90.5067,-89.2079,-105.538,65.4591,134.946,Robot TCP Torque,-14.9339,-14.9122,16.0431,5.36012,-6.90858,3.68126,Robot Joint Torque,9.04472,17.9335,8.49664,-0.535525,-1.36862,0.662134,
No.2:Traction sensor V,1331,1935,1250,1695,2081,1695,0,0,0,0,0,0,Traction sensor F/M,0.747429,0.0743627,1.73287,0.708025,3.65014,-0.356055,1.23732e-315,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1987.61,1852.42,2435.3,1757.51,1718.75,1919.25,Contact sensor F/M,0.21393,1.70338,-0.572185,-3.00852,-0.949848,0.543285,Robot TCP position,0.335385,0.587133,0.335404,-0.529785,-0.114933,2.41494,Robot Joint position,89.8711,-90.5039,-89.2113,-105.54,65.444,134.945,Robot TCP Torque,-17.5397,-14.3042,16.7706,5.0903,-3.92453,2.8146,Robot Joint Torque,9.33648,18.0059,8.70761,-0.535525,-0.614101,0.54698,
No.3:Traction sensor V,1331,1935,1253,1696,2078,1694,0,0,0,0,0,0,Traction sensor F/M,0.759516,0.0777262,2.01913,0.957306,4.42856,-0.565807,1.23672e-315,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1986.39,1852.11,2436.22,1755.98,1718.75,1918.95,Contact sensor F/M,0.834077,0.850586,-0.40819,0.497597,0.160585,0.247945,Robot TCP position,0.335432,0.587187,0.335445,-0.529887,-0.115081,2.41496,Robot Joint position,89.8711,-90.5053,-89.2079,-105.537,65.4372,134.943,Robot TCP Torque,-17.8707,-15.4997,16.1373,5.64421,-5.17131,3.31272,Robot Joint Torque,8.89883,17.4993,8.79803,-0.5644,-0.81724,0.633346,
No.4:Traction sensor V,1332,1936,1247,1695,2078,1694,0,0,0,0,0,0,Traction sensor F/M,0.657616,0.0259255,1.46806,0.937096,4.16949,-0.551921,1.23722e-315,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1987.3,1852.72,2435.91,1756.59,1719.06,1918.03,Contact sensor F/M,0.169529,0.931459,-0.459421,-0.436348,-1.41116,-0.564257,Robot TCP position,0.335401,0.587196,0.335462,-0.529858,-0.115111,2.41495,Robot Joint position,89.8731,-90.5046,-89.2065,-105.539,65.4385,134.946,Robot TCP Torque,-17.5657,-15.5543,16.0842,5.66527,-4.78531,3.21776,Robot Joint Torque,8.75295,18.5125,8.73775,-0.5644,-0.7592,0.690922,
No.5:Traction sensor V,1332,1937,1242,1695,2083,1693,0,0,0,0,0,0,Traction sensor F/M,0.630672,-0.0458749,1.02213,1.15924,2.74972,-0.773678,1.23756e-315,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1986.69,1852.11,2436.83,1757.2,1718.44,1918.64,Contact sensor F/M,0.878114,1.67404,-0.31803,-2.54316,0.622951,0.178658,Robot TCP position,0.335411,0.587204,0.335466,-0.529869,-0.115162,2.41495,Robot Joint position,89.8731,-90.5039,-89.2072,-105.537,65.4372,134.945,Robot TCP Torque,-18.6093,-14.5381,16.0847,5.223,-5.10911,3.06643,Robot Joint Torque,8.89883,17.9335,8.70761,-0.535525,-1.02038,0.575769,
No.6:Traction sensor V,1331,1938,1243,1695,2082,1693,0,0,0,0,0,0,Traction sensor F/M,0.740008,-0.0917149,1.10871,1.33554,3.43975,-0.756556,1.23544e-315,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1986.39,1853.64,2438.35,1757.51,1719.06,1918.95,Contact sensor F/M,0.638179,1.09552,-0.0580688,-1.87792,-0.579141,0.243246,Robot TCP position,0.335402,0.587191,0.335441,-0.529861,-0.115085,2.41498,Robot Joint position,89.8731,-90.5046,-89.2085,-105.537,65.4385,134.944,Robot TCP Torque,-16.9986,-14.0397,16.347,4.95864,-4.18529,2.82398,Robot Joint Torque,9.84707,18.1506,8.79803,-0.535525,-0.352922,0.575769,
No.7:Traction sensor V,1331,1940,1240,1695,2081,1693,0,0,0,0,0,0,Traction sensor F/M,0.74256,-0.195893,0.84043,1.74438,3.76255,-0.742555,1.23713e-315,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1986.69,1852.11,2438.35,1757.51,1718.75,1918.64,Contact sensor F/M,0.665087,1.87604,-0.0641516,-3.25581,-0.143754,0.184146,Robot TCP position,0.33542,0.587208,0.335469,-0.529919,-0.115115,2.41496,Robot Joint position,89.8731,-90.506,-89.2051,-105.539,65.4358,134.945,Robot TCP Torque,-17.1133,-15.3166,16.1366,5.53913,-4.73119,3.11196,Robot Joint Torque,8.60707,18.2954,8.94872,-0.535525,-0.81724,0.633346,
No.8:Traction sensor V,1331,1939,1240,1694,2081,1693,0,0,0,0,0,0,Traction sensor F/M,0.748685,-0.135598,0.828294,1.25827,3.77797,-0.750747,1.23713e-315,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1986.08,1852.72,2438.66,1756.59,1719.36,1918.33,Contact sensor F/M,0.574878,0.944841,-0.00084086,-0.397349,-1.08079,-0.259327,Robot TCP position,0.335416,0.587176,0.335447,-0.529917,-0.11509,2.41494,Robot Joint position,89.8731,-90.5039,-89.2092,-105.539,65.4365,134.947,Robot TCP Torque,-17.9455,-15.2143,16.2928,5.46811,-5.07881,3.17303,Robot Joint Torque,9.33648,17.8612,8.79803,-0.593276,-0.67214,0.604557,
No.9:Traction sensor V,1331,1940,1237,1691,2080,1694,0,0,0,0,0,0,Traction sensor F/M,0.764041,-0.166923,0.524302,0.621808,4.17577,-0.54139,1.23732e-315,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1986.08,1853.64,2437.74,1757.2,1718.75,1918.33,Contact sensor F/M,1.00351,0.898732,-0.159163,-1.15821,0.458882,-0.209558,Robot TCP position,0.335413,0.587207,0.335478,-0.529852,-0.11514,2.41497,Robot Joint position,89.8724,-90.5046,-89.2051,-105.538,65.4379,134.943,Robot TCP Torque,-18.4766,-14.3767,16.507,5.15305,-4.92743,3.01728,Robot Joint Torque,10.4306,17.5717,8.40623,-0.593276,-0.643121,0.54698,
No.10:Traction sensor V,1331,1940,1237,1690,2082,1694,0,0,0,0,0,0,Traction sensor F/M,0.756438,-0.168309,0.513387,0.353771,3.64587,-0.547222,1.23737e-315,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1987,1853.94,2435,1757.81,1719.06,1918.64,Contact sensor F/M,0.341499,1.12918,-0.62034,-2.39713,-1.12087,-0.0482309,Robot TCP position,0.33542,0.587181,0.335422,-0.529901,-0.115007,2.41498,Robot Joint position,89.8718,-90.5067,-89.2085,-105.539,65.4379,134.943,Robot TCP Torque,-17.6912,-14.5875,16.6164,5.26516,-4.27417,2.89325,Robot Joint Torque,8.53413,17.7888,8.76789,-0.477774,-0.410962,0.604557,
