No.1:Traction sensor V,1329,1938,1257,1681,2078,1691,0,0,0,0,0,0,Traction sensor F/M,0.424496,0.117089,1.90355,-0.259566,1.69425,-1.03644,2.00955e-316,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1986.69,1852.42,2456.97,1755.98,1718.14,1918.64,Contact sensor F/M,0.638148,0.489024,3.72652,-0.0234768,-0.0538232,-0.277927,Robot TCP position,-0.019452,0.786913,1.08277,0.200578,2.52765,-0.113527,Robot Joint position,89.9859,-90.0638,-89.9036,-105.567,-114.955,-105.454,Robot TCP Torque,30.5779,-27.2602,5.90653,-9.36599,-10.5117,1.21118,Robot Joint Torque,-23.1953,21.3228,4.78377,1.16286,3.45739,2.53338,
No.2:Traction sensor V,1328,1939,1267,1681,2080,1694,0,0,0,0,0,0,Traction sensor F/M,0.509467,0.0596927,2.8015,-0.0950038,1.42899,-0.419361,2.01486e-316,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1986.39,1852.42,2456.36,1757.51,1718.44,1918.33,Contact sensor F/M,0.580775,1.50656,3.61112,-3.7998,-0.573762,-0.340652,Robot TCP position,-0.0195544,0.786889,1.08274,0.200461,2.52746,-0.113426,Robot Joint position,89.9873,-90.0638,-89.9036,-105.565,-114.967,-105.453,Robot TCP Torque,29.9765,-26.8175,6.85431,-9.45031,-7.80291,0.524936,Robot Joint Torque,-22.8306,21.1057,4.45224,1.19173,4.03778,2.53338,
No.3:Traction sensor V,1329,1938,1265,1681,2079,1696,0,0,0,0,0,0,Traction sensor F/M,0.410682,0.114613,2.61899,-0.273611,1.31998,-0.00979523,2.01145e-316,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1987,1852.42,2457.58,1756.29,1718.14,1918.95,Contact sensor F/M,0.47973,0.692343,3.82634,-0.767556,-0.331951,-0.0246299,Robot TCP position,-0.019559,0.786903,1.08271,0.200498,2.52739,-0.113475,Robot Joint position,89.9859,-90.0638,-89.905,-105.566,-114.97,-105.455,Robot TCP Torque,30.6132,-27.5536,6.0645,-9.53027,-8.38896,0.647136,Robot Joint Torque,-22.6118,21.7571,4.66322,1.19173,3.25425,2.47581,
No.4:Traction sensor V,1327,1938,1259,1681,2082,1696,0,0,0,0,0,0,Traction sensor F/M,0.610921,0.115951,2.06136,-0.275437,1.34869,0.0245791,2.01483e-316,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1986.08,1852.42,2457.89,1755.98,1719.06,1918.64,Contact sensor F/M,0.324818,0.477576,3.88262,0.051399,-1.79029,-0.339911,Robot TCP position,-0.0195684,0.786877,1.08273,0.200475,2.52742,-0.113429,Robot Joint position,89.9873,-90.0625,-89.905,-105.565,-114.969,-105.454,Robot TCP Torque,30.5472,-27.5828,6.05841,-9.62685,-8.33565,0.520659,Robot Joint Torque,-23.1224,21.7571,4.72349,1.19173,3.37033,2.50459,
No.5:Traction sensor V,1326,1938,1258,1682,2083,1693,0,0,0,0,0,0,Traction sensor F/M,0.710971,0.109704,1.98315,-0.0164456,1.43931,-0.5919,2.0079e-316,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1986.69,1852.11,2459.72,1756.59,1717.83,1918.95,Contact sensor F/M,0.82892,1.06799,4.17799,-1.79847,0.684562,0.115276,Robot TCP position,-0.0195638,0.786908,1.08271,0.200485,2.52742,-0.113459,Robot Joint position,89.9873,-90.0645,-89.905,-105.565,-114.968,-105.455,Robot TCP Torque,30.3892,-28.0358,6.53709,-9.85651,-8.25121,0.388506,Robot Joint Torque,-22.9765,21.9018,4.75364,1.13398,3.51543,2.44702,
No.6:Traction sensor V,1327,1937,1261,1683,2085,1693,0,0,0,0,0,0,Traction sensor F/M,0.589899,0.144733,2.2695,0.086325,0.416471,-0.612298,2.00955e-316,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1986.69,1852.11,2460.02,1756.9,1717.53,1918.95,Contact sensor F/M,1.03347,1.28013,4.22489,-2.57645,1.43884,0.192072,Robot TCP position,-0.019573,0.786903,1.08271,0.200467,2.52741,-0.11344,Robot Joint position,89.9873,-90.0645,-89.905,-105.564,-114.97,-105.454,Robot TCP Torque,31.3245,-27.8586,6.32224,-9.80753,-8.6157,0.544055,Robot Joint Torque,-22.9765,22.4808,4.69336,1.13398,3.42837,2.50459,
No.7:Traction sensor V,1328,1938,1264,1684,2086,1691,0,0,0,0,0,0,Traction sensor F/M,0.470891,0.073177,2.56109,0.605812,-0.257001,-1.02898,1.98994e-316,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1985.17,1852.11,2459.41,1755.37,1717.22,1918.95,Contact sensor F/M,2.02532,0.277814,4.1326,1.15098,3.59328,0.157662,Robot TCP position,-0.0195589,0.786846,1.08279,0.200519,2.52742,-0.113343,Robot Joint position,89.9866,-90.0618,-89.9009,-105.566,-114.969,-105.454,Robot TCP Torque,30.2903,-27.5428,6.42778,-9.66347,-8.316,0.464469,Robot Joint Torque,-22.6118,21.9018,4.75364,1.24948,3.39935,2.53338,
No.8:Traction sensor V,1329,1939,1259,1683,2083,1693,0,0,0,0,0,0,Traction sensor F/M,0.383967,0.0334804,2.10467,0.52296,0.185814,-0.62641,1.98994e-316,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1986.08,1852.42,2457.28,1757.81,1718.75,1919.25,Contact sensor F/M,0.524836,1.7106,3.76205,-4.52657,-1.06608,0.398477,Robot TCP position,-0.0195684,0.786903,1.08272,0.200455,2.52742,-0.113446,Robot Joint position,89.9873,-90.0645,-89.9036,-105.565,-114.969,-105.454,Robot TCP Torque,30.5392,-27.593,6.37723,-9.67022,-8.26987,0.51495,Robot Joint Torque,-22.6118,21.4676,4.48239,1.19173,3.45739,2.50459,
No.9:Traction sensor V,1328,1938,1261,1684,2083,1694,0,0,0,0,0,0,Traction sensor F/M,0.487627,0.0872654,2.28554,0.581719,0.552132,-0.404374,1.97663e-316,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1987.3,1852.42,2457.28,1756.59,1718.44,1918.33,Contact sensor F/M,0.11702,0.885893,3.77453,-1.49873,-1.37254,-0.523809,Robot TCP position,-0.0195591,0.786882,1.08274,0.200455,2.52742,-0.113453,Robot Joint position,89.9866,-90.0625,-89.9043,-105.567,-114.969,-105.453,Robot TCP Torque,30.4614,-28.107,5.95473,-9.75614,-8.1572,0.44327,Robot Joint Torque,-22.7577,21.4676,4.60294,1.22061,3.48641,2.56217,
No.10:Traction sensor V,1328,1940,1259,1684,2083,1695,0,0,0,0,0,0,Traction sensor F/M,0.48327,-0.0201397,2.1048,0.999587,0.590876,-0.181224,2.01053e-316,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1987.61,1852.72,2456.36,1756.9,1718.44,1918.64,Contact sensor F/M,-0.031819,0.929659,3.62008,-1.9913,-1.64035,-0.308556,Robot TCP position,-0.0195683,0.786918,1.08272,0.20044,2.52742,-0.113449,Robot Joint position,89.9873,-90.0659,-89.9023,-105.565,-114.969,-105.453,Robot TCP Torque,30.4382,-28.2924,6.64126,-9.9668,-8.20718,0.422239,Robot Joint Torque,-23.1224,21.6847,4.45224,1.16286,3.34131,2.44702,
No.11:Traction sensor V,1326,1940,1258,1683,2081,1695,0,0,0,0,0,0,Traction sensor F/M,0.712339,0.0037945,1.99187,0.669149,1.99853,-0.154488,2.01053e-316,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1986.69,1852.42,2456.67,1757.2,1718.44,1918.33,Contact sensor F/M,0.42619,1.29967,3.66559,-3.03278,-0.840021,-0.401704,Robot TCP position,-0.0195779,0.786914,1.0827,0.200433,2.52739,-0.113485,Robot Joint position,89.9873,-90.0645,-89.9043,-105.567,-114.97,-105.454,Robot TCP Torque,30.9339,-27.4943,6.48387,-9.65929,-8.44684,0.535776,Robot Joint Torque,-22.9765,21.9742,4.63308,1.16286,3.54445,2.53338,
No.12:Traction sensor V,1328,1941,1257,1682,2083,1692,0,0,0,0,0,0,Traction sensor F/M,0.49137,-0.0642759,1.91315,0.631281,0.64888,-0.81691,2.01196e-316,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1986.69,1852.42,2458.8,1756.59,1718.44,1919.56,Contact sensor F/M,0.422834,0.897022,4.02841,-1.49009,-0.824879,0.478308,Robot TCP position,-0.0195684,0.786892,1.08273,0.200475,2.52742,-0.113428,Robot Joint position,89.9873,-90.0638,-89.9036,-105.565,-114.969,-105.454,Robot TCP Torque,29.5797,-27.9484,5.84451,-9.73551,-7.8505,0.336156,Robot Joint Torque,-22.9036,22.1913,4.93446,1.24948,3.51543,2.50459,
No.13:Traction sensor V,1329,1941,1261,1682,2082,1692,0,0,0,0,0,0,Traction sensor F/M,0.387825,-0.0670821,2.28254,0.633223,0.487892,-0.836151,2.012e-316,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1987.3,1851.81,2459.11,1755.37,1718.44,1918.95,Contact sensor F/M,0.107515,0.383688,4.08992,1.01164,-1.36695,-0.129593,Robot TCP position,-0.01954,0.786877,1.08274,0.200561,2.52741,-0.113407,Robot Joint position,89.9852,-90.0632,-89.9036,-105.565,-114.969,-105.456,Robot TCP Torque,30.1955,-27.4362,6.16477,-9.57015,-8.18498,0.539313,Robot Joint Torque,-22.7577,21.7571,4.51252,1.16286,3.54445,2.53338,
